uniquewords,Repetitions
PERIODIC-PAST,3
PERSONAL,3
PETROL,3
PHOTO,3
PLEASE-ONESELF,3
POOR,3
POP-SINGER,3
PORTER,3
PT: ,3
RANKING-FOUR,3
RANKING-THREE,3
REAMS,3
RECEIVE,3
RELEASE,3
RIVER,3
ROOTS,3
SATELLITE,3
SEEM,3
SENSITIVE,3
SHOE,3
SHOULDER,3
SIXPENCE,3
SLICE,3
SN:ALEXFS:A-ALEX,3
SN:BLACKPOOLBLACK,3
SN:DIMITAR-BERBATOVFS:D-DIMITAR,3
SN:FULHAMFS:F-FULHAM,3
SN:FULHAMPLENTY,3
SN:HORROWELLFS:H-HORROWELL,3
SN:INDECIPHERABLEFS:INDECIPHERABLEH,3
SN:INDECIPHERABLEFS:M-INDECIPHERABLE,3
SN:INDECIPHERABLEFS:T-INDECIPHERABLE,3
SN:JULIEFS:J-JULIE,3
SN:MIDLANDSCENTRE,3
SN:PHILIPPAFS:P-PHILIPPA,3
SN:RODDYRED,3
SN:WAYNEFS:W-WAYNE,3
SNOB,3
SO-WHAT,3
SOCIAL-WORKER,3
SPLASH,3
SPORT,3
SPRINT,3
STAIR,3
STONE,3
SYDNEY,3
TASTE,3
TAXI,3
TERRIFIED,3
THIRTEEN,3
USELESS,3
VAPOUR,3
VERY-BEST,3
VOLUNTEER,3
WEEK-FOUR,3
WHALE,3
WORD,3
/AREA,2
/DSSSPHERE,2
/EMIT,2
/G:CA:TRYING-TO-MOVE-PAPER-TO-READ,2
ADORE,2
AGE-ELEVEN,2
AGE-FIFTEEN,2
AGE-FIFTYFIVE,2
AGE-FOURTEEN,2
AGE-NINETEEN,2
AGREE ,2
AIDS,2
ALREADY,2
AMBIENCE,2
ANNOYED,2
APRIL,2
ARABIC,2
ARGUE,2
AUCTION,2
AUSTRIA,2
BACK-BODY,2
BARBECUE,2
BATH-SPA,2
BEAR,2
BEHIND,2
BILLION,2
BIRD,2
BLACKPOOL,2
BLONDE,2
BOTH,2
BRING-FORWARD,2
BUDGET,2
BUSH,2
BY,2
CANADA,2
CARDIFF,2
CHALLENGE,2
CHEEKY,2
CHOCOLATE,2
CITY,2
CLICK-MOUSE,2
CLL:CAKES,2
CLL:CAMERAS,2
CLL:GOAL,2
CLM:DOG-TONGUE-LICKS,2
CLM:GROUP-MOVE,2
CLM:LOCK-MOVES,2
CLM:OBJECT-MOVE,2
CLM:VIDEO-CAMERA-MOVE,2
CLM:WAG-TAIL,2
CLSS:BONE,2
CLSS:CROWD,2
CLSS:DISTANCE,2
CLSS:PATH,2
CLSS:STREET,2
CLSS:STRING,2
CLSS:STRIPES,2
COAT,2
COLLAPSE,2
COLLISION,2
COMBINE,2
COMMENT,2
COMMUNICATION-BREAKDOWN,2
COMPETTION,2
COMPLICATED,2
CONTRACTIONS,2
COURSE,2
COURTING,2
CRAM,2
CRAP,2
CREDIT-CARD,2
CUP,2
CUPBOARD,2
DANGER,2
DECEMBER,2
DEEP,2
DEVIL,2
DONCASTER,2
DONE-WITH,2
DOUBLE,2
DOUBLE-DOORS,2
DRIVE ,2
DSEW,2
EASTER,2
ECG,2
ENGAGED,2
ENQUIRE,2
EXPRESS,2
EXPRESSION,2
FACE-LIFT,2
FACTORY,2
FAIRGROUND,2
FEBRUARY,2
FIFTY,2
FIGURE-OUT,2
FISHING,2
FLAG,2
FLIP-THROUGH,2
FLU,2
FOOT-PEDAL,2
FOURTEEN,2
FRUSTRATED,2
FS:,2
FS:A-ALUMINIUM,2
FS:A-APRIL,2
FS:A-UNKNOWN,2
FS:ABOUTBOU,2
FS:ACE,2
FS:AER,2
FS:AHEAD,2
FS:ALEX,2
FS:ANN,2
FS:ANTONIA,2
FS:AQ,2
FS:ASTON,2
FS:AUGUSTAG,2
FS:AYR,2
FS:B-BRONZE,2
FS:BATH,2
FS:BBCBC,2
FS:BEENBEN,2
FS:BENONE,2
FS:BENONEBELONE,2
FS:BID,2
FS:BLACKIE,2
FS:BLAST,2
FS:BOARDING,2
FS:BRATISLAVA,2
FS:BSLBL,2
FS:C-CHANNEL,2
FS:C-CLAPHAM,2
FS:C-INDECIPHERABLE,2
FS:CANARYCARNARY,2
FS:CASTLECASTE,2
FS:CATS,2
FS:CHRISTINACHRSTINA,2
FS:CLAY,2
FS:CLOT,2
FS:COVENTRYCV,2
FS:D,2
FS:D-DANIEL,2
FS:D-DEAF,2
FS:D-DENARIUS,2
FS:DALLY,2
FS:DANIEL,2
FS:DARBY,2
FS:DAUGHTERDAU,2
FS:DEAF,2
FS:DECEMBERDC,2
FS:DEVONDON,2
FS:DEVONDVN,2
FS:DLA,2
FS:DONALDSONS,2
FS:DOWNHILL,2
FS:DUE,2
FS:DUKEDKE,2
FS:DUKEDUK,2
FS:ECG,2
FS:ELLA,2
FS:FEBRUARYFB,2
FS:FEBRUARYFEB,2
FS:FLU,2
FS:FORR,2
FS:G,2
FS:G-GRAPHIC,2
FS:G-GUINNESS,2
FS:G-UNKNOWN,2
FS:GALA,2
FS:GIRVAN,2
