time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
271,,271,0.813781,1,-44.988,-199.654,1399.96,-0.0607852,0.656274,0.173507
272,,272,0.847104,1,-44.2878,-200.133,1402.25,-0.0458201,0.650137,0.158981
273,,273,0.856641,1,-43.9877,-201.059,1406.91,-0.0360638,0.64202,0.149541
274,,274,0.860958,1,-44.1649,-201.484,1408.96,-0.0295294,0.640447,0.144365
275,,275,0.853097,1,-44.6104,-201.82,1409.96,-0.0208584,0.637774,0.13747
276,,276,0.830358,1,-44.9553,-201.273,1409.75,-0.0101934,0.631347,0.129185
277,,277,0.797561,1,-44.6939,-199.995,1405.81,-6.83755e-05,0.619667,0.119757
278,,278,0.782126,1,-43.9859,-199.132,1402.5,-0.00323708,0.608956,0.116932
279,,279,0.774467,1,-43.4506,-198.988,1401.92,-0.00131611,0.606152,0.115565
280,,280,0.77275,1,-43.0114,-199.576,1405.3,-0.00373274,0.602398,0.117077
281,,281,0.764445,1,-42.583,-199.948,1407.46,-0.00137221,0.596634,0.115275
282,,282,0.774352,1,-42.1555,-199.678,1407.52,0.00396821,0.596035,0.11235
283,,283,0.7667,1,-41.706,-198.98,1405.35,0.0095116,0.595644,0.109332
284,,284,0.771742,1,-40.9705,-198.14,1401.75,0.0119811,0.595992,0.109773
285,,285,0.78304,1,-40.3736,-198.837,1405.55,0.0201539,0.594779,0.10824
286,,286,0.814994,1,-40.1581,-198.921,1405.7,0.0239832,0.60595,0.107965
287,,287,0.801326,1,-40.3835,-199.382,1410.49,0.0146974,0.623725,0.108008
288,,288,0.785293,1,-40.9464,-200.567,1418.61,0.0153494,0.624734,0.104073
289,,289,0.789171,1,-41.4909,-200.103,1418.85,0.0148194,0.630745,0.101232
290,,290,0.803527,1,-41.5009,-198.95,1415.92,0.0168508,0.636418,0.0978076
291,,291,0.811113,1,-41.5518,-198.66,1418.58,0.0197942,0.639127,0.0972888
292,,292,0.806181,1,-41.7859,-199.134,1424.02,0.019914,0.6439,0.0991123
293,,293,0.821137,1,-41.9001,-199.319,1427.37,0.020715,0.643541,0.0987422
294,,294,0.830134,1,-41.582,-199.045,1428.09,0.0220826,0.645343,0.0983711
295,,295,0.804508,1,-40.9803,-197.484,1421.16,0.0099178,0.643679,0.103976
296,,296,0.808324,1,-40.1582,-196.172,1415.59,0.00376765,0.641932,0.103748
297,,297,0.801436,1,-39.7048,-196.207,1416.01,0.00210192,0.640436,0.103713
298,,298,0.824175,1,-40.8139,-197.136,1422.14,0.00636703,0.652605,0.0979879
299,,299,0.822923,1,-42.677,-197.57,1424.1,0.0168893,0.668941,0.0908414
300,,300,0.831989,1,-44.5515,-198.151,1426.92,0.0241522,0.679899,0.0878441
301,,301,0.845204,1,-45.9286,-198.526,1428.3,0.0292228,0.685959,0.0865639
