uniquewords,Repetitions
SN:INDECIPHERABLEFS:J,1
SN:JEAN,1
SN:JOCK,1
SN:KATHERINEFS:K-KATHERINE,1
SN:MICHAELFS:M-MICHAEL,1
SN:NEILFS:N-NEIL,1
SN:NEWQUAYFS:N-NEWQUAY,1
SN:NICKFS:N-NICK,1
SN:PAULA-YATESFS:P-PAULA,1
SN:PHILIPFS:P-PHILIP,1
SN:SCHOFIELDFS:S-SCHOFIELD,1
SN:SICILYFS:S-SICILY,1
SN:SOUTHAMPTONFS:S-SOUTHAMPTON,1
SN:THIS,1
SN:TREVORFS:T-TREVOR,1
SN:TURNPIKE-LANEFS:T-TURNPIKE,1
SN:UNKNOWNUNKNOWN,1
SN:WENDY,1
SO,1
SO-WHAT,1
SOMETIMES,1
SON,1
SOON,1
SPECTACLES,1
SPEND,1
SPORT,1
STADIUM,1
STIFF,1
STILL ,1
STONE,1
STRETCH,1
STRICT,1
STUDENT,1
SUE,1
SUPPRESS-LAUGHTER,1
SYMPATHY,1
TAP,1
TELEPATHY,1
TERRIFED,1
THAN,1
THAT-IS-IT,1
THING ,1
THIS-TIME-SPAN,1
THROW,1
THROW-AWAY,1
TICK,1
TICKET,1
TREE,1
TROPHY,1
TWICE,1
UNDERGROUND,1
UPSET,1
USE,1
VANISH,1
VERY-BEST,1
VOLUNTEER,1
WALSALL,1
WANT-NOT,1
WASTE,1
WATCH,1
WEAR-BACKPACK,1
WEEKLY,1
WET,1
WHEELCHAIR,1
WHEELS,1
WHY ,1
WINE,1
WONDERFUL,1
YAWN,1
